Customer Name,Company Name,Sales Rep,Type,Address 1,Address 2,City,State,Zip,Country,Phone,Licenseno
Civic Tavern,Civic Tavern,John Hedley,Retailer,213 12 Ave SW,,Calgary,AB,T2R0G9,Canada,403.453.4114,779602
Coast Hotel - Canmore,Coast Hotel - Canmore,Steve Dunn,Wholesaler,"511 Bow Valley Trail,",,Canmore,AB,T1W 1N7,Canada,403.609.5902,774081
Collective,Collective - A Craft Beer Shop,,,#445 12445 Lake Fraser Drive SE,,Calgary,AB,T2J 7A4,Canada,4039845009,778450
Cornerstone Cafe NORDIC,Cornerstone Cafe (@Canmore Nordic Centre),,,"1988 Olympic Way, ",,Canmore,AB,,USA,,777050
Cornerstone Theatre,Cornerstone Theatre,,,125 Kananaskis Way,,Canmore,AB,T1W 2X2,Canada,(403) 707-6347,762116
Cougars LIquor,Cougars Liquor,staff staff,,"102-1005 Cougar Creek Dr,",,Canmore,AB,T1W1E1,Canada,4036782000,775290
Coyotes - Banff,Coyotes Southwestern Grill,Steve Dunn,,206 Caribou St,,Banff,AB,T1L0A1,Canada,403-609-0605,735368
Craft Beer Nation,Craft Beer Nation,John Hedley,,D1 - 2310 Gaetz Avenue,,Red Deer,AB,T4R 0H8,USA,403-986-0126,777187
Craft Cellars,Craft Cellars,,,1345 32nd Avenue NE,,Calgary,AB,T2E 7Z5,Canada,(403) 277-1868,774614
Crazy Weed,Crazy Weed,Steve Dunn,,1600 Railway Ave.,,Canmore,AB,T1W 1P6,Canada,(403) 609-2530,767323
Creekside Villa,Creekside Villa,Steve Dunn,,709 Benchlands Trail,,Canmore,AB,T1W 3G9,Canada,403) 609-5522,775835
Drake,Drake Pub and Inn,,,909 Railway Ave,,"Canmore,",AB,T1W 1P3,Canada,,774425
Eastport-YYC,Eastport Liquor,John Hedley,Retailers,"#150, 200-52nd St. NE",,Calgary,AB,T2A 4K8,Canada,,760031
Eddie Burger,Eddie Burger and Bar,,,137 Banff Avenue,,,,,USA,403-762-2230,773557
Elk-Oarsmen,Elk-Oarsmen,Steve Dunn,Wholesaler,119 Banff Ave,,Banff,AB,T1L 1B6,Canada,,765539
Farm &amp; Fire - BANFF,Farm &amp; Fire - Elk + Ave. Hotel - BANFF,Steve Dunn,Wholesaler,333 Banff Ave,,Banff,AB,T1L 1B1,Canada,,771850
Free House,Free House,John Hedley,Retailer,1153 Kensington Cres. NW,,Calgary,AB,T2N 1X7,Canada,403.452.1339,781121
Gaucho Braziian BBQ - Canmore,Gaucho Braziian BBQ - Canmore,Steve Dunn,Retailer,629 8 St,,Canmore,AB,T1W 2B1,Canada,(403) 678-9886,771780
Good Earth - Canmore,Good Earth Canmore,Steve Dunn,,718 8th Street,,Canmore,AB,1W 2B6,USA,403-953-0100,772223
Grande,The Grande Kitchen &amp; Bar,Steve Dunn,,901 Mountain St,,"Canmore,",AB,T1W 3B1,Non-US,403-678-8880,788565
Graze,Graze Food &amp; Drink,,,717-8 Street,,Canmore,AB,T1W 2B2,USA,403-675-5550,776209
Grizzly 310,Grizzly Paw Tank 310,,,310 Old Canmore Road,,Canmore,AB,T1W 0J7,Canada,,772061
Grizzly Paw Pub,Grizzly Paw Pub - Downtown,Steve Dunn,Wholesalers,622 8 St,,Canmore,AB,T1W 2B5,Canada,403-688-1978,755395
High Rollers,High Rollers Banff,Steve Dunn,,"Lower Ground Floor, 110 Banff Ave",,Banff,AB,,Non-US,4037605300,764527
Hogshead,Hogshead,,,721 8th Street,,"Canmore,",AB,T1W 2B6,Canada,,774045
Holiday Inn - Canmore,Holiday Inn - Canmore,Steve Dunn,OwnRetailers,1 Silvertip Trail,,Canmore,AB,T1W 2Z7,Canada,250-354-7114,770015
Hy5,Hy5,Brian Dunn,Retailers,#102 - 1000 6th Ave,,Canmore,AB,T1W 2A5,Canada,,777430
Iron Goat,Iron Goat Pub &amp; Grill,Brian Dunn,,703 Benchlands Trail,,Canmore,Alberta,T1W 3G9,Canada,403-609-0222,768241
J. Webb Glenmore Landing,J. Webb Glenmore Landing,John Hedley,Retailer,157 - 1600 90th Ave SW,,Calgary,AB,T2V 5A8,Canada,403.462.2766,718059
LA Liquor,LA Liquor,John Hedley,Retailer,4702 HWY 2A,,Lacombe,AB,T4L 1H4,Canada,(403) 789 - 4444,774780
Lake Louise Liquor Store,Lake Louise Liquor Store,Steve Dunn,Retailer,101 Lake Louise Dr.,,Lake Louise,AB,T0L 1E0,Canada,(403) 522-3955,754329
LD Brentwood,Liquor Depot 706 Brentwood,,Retailers,3630 Brentwood Rd. NW,,,,,USA,403-289-2946,764741
LD Cascade-Banff,Liquor Depot At Cascade - Banff,,Wholesalers,202 Wolf Street,,Banff,AB,T0L 0C0,Canada,403-762-2518,764747
LD Signal Hill,Liquor Depot Signal Hill,Nick Kuhn,Retailers,5522 signal Hill Center SW,,Calgary,AB,T3H 3P8,Canada,403-217-1336,775071
Legion Canmore,Canmore Legion,Steve Dunn,Retailers,834 7th Street,,Canmore,Ab,,Canada,4036784200,648864
Liquor Evolution,Liquor Evolution,John Hedley,Retailer,105-5001 Aspen Lakes Boulevard,,Blackfalds,AB,T4M 0J1,Canada,(403) 358 - 4763,777631
Liquor on Mcleod,Liquor on Mcleod,John Hedley,Retailer,300 - 700 Mcleod Ave,,Spruce Grove,AB,T7X 0C8,Canada,(780) 962 - 2337,766584
Liquor Point,Liquor Point,,Retailers,Unit D - 1702 Bow Valley Trail,,Canmore,AB,T1W 1N3,USA,403-689-8387,782184
Liquorama,Liquorama,John Hedley,Retailer,"#140, 1830 52nd Street SE",,Calgary,AB,T2B 1N1,Canada,403-273-1300,772243
Liquorama Beddington,Liquorama Beddington,John Hedley,Retailer,"314, 8120 Beddington Blvd. NW",,Calgary,AB,T3K 2A8,Canada,403.561.7118,776220
Liquorama Ltd. ,Liquorama Ltd. ,John Hedley,Retailer,"1103 18th St. SE, Bay J",,High River,AB,T1V 2A9,Canada,403.273-1300,777872
Little Guy Liquor,Little Guy Liquor,staff staff,Retailers,126-270 Baseline Rd,,Sherwood Park,AB,T8H 1R4,USA,780-417-9611,768439
Market Wines,Market Wines,,,520 77 Ave SE,,"Calgary,",AB,,Canada,403-850-9825,776560
Midtown,Midtown Kitchen &amp; Bar,,,302 10th Street NW,,Calgary,AB,T2N 1V8,Canada,403-474-2555,773227
Mineshaft Tavern,Mineshaft Tavern,staff staff,,808 Spring Creek Drive,,Canmore,AB,T1W 0K3,USA,403-678-2288,775254
Minnewanka Boat Cruises,Lake Minnewanka Boat Cruises - PURSUIT,Steve Dunn,Retailer,"Lake Minnewanka Scenic Dr,",,Banff,AB,T1L 1A1,Canada,,767355
Mountain Lake Louise,The Mountain Restaurant Lake Louise,Steve Dunn,Retailers,200 Village Road,,Lake  Louise,AB,T0L 1E0,Canada,(403) 522-3573,669296
Murrietas Canmore,Murrietas Canmore,Steve Dunn,OwnRetailers,737 8 Street,,Canmore,AB,T1W 2B6,USA,403-431-3777,763390
Paintbox Lodge,Paintbox Lodge,Steve Dunn,,629 10th Street,,Canmore,AB,T1W 2A2,USA,403-609-0482,770584
Park Distillery Banff,Park Distillery - Banff,Steve Dunn,,219 Banff Ave,,Banff,AB,T1L 1A7,USA,403-762-5114,774556
Patrinos,Patrinos Steak House &amp; Lounge,,,1602 Bow Valley Trail,,Canmore,AB,T1W 1N5,Canada,403-678-7909,779060
Patrinos - BANFF,Patrinos - BANFF,Steve Dunn,Retailer,537 BANFF AVE,,BANFF,AB,T1L 1A6,Canada,,780320
Point McKay,Point McKay Liquor,,,145 Point Drive NW,,"Calgary,",AB,,Canada,,774615
Ptarmigan Inn - Banff,Ptarmigan Inn - Banff,Steve Dunn,Retailer,337 Banff Avenue,,Banff,AB,,Canada,403-7607558,755499
Red Rock Pizza,Red Rock Pizza Canmore,,Retailers,1005 Cougar Creek Dr.,,Canmore,AB,,Canada,403-675-4443,774699
RMFB Co.,Rocky Mountain Flatbread Company,,,"#1, 838 10th Street",,Canmore,AB,,Canada,403-609-5508,769100
Rose-Crown Canmore,Rose &amp; Crown Canmore,,Retailers,749 Railway Ave,,Canmore,AB,T1W 1P2,Canada,403-594-1916,777165
Rustys Liquor,Rusty's Downtown Liquor,,Retailers,801-8th Street,,Canmore,AB,T1W 2B7,USA,403-678-4465,773089
Safeway Liquor - Canmore,Safeway Liquor - Canmore,Steve Dunn,,#200 - 1200 Railway Ave,,Canmore,AB,T1W 1P4,Canada,403-707-5825,773537
Safeway Shawnessy,Safeway Liquor Shawnessy #5484,,,"Unit 700, 70 Shawville Blvd SE",,Calgary,AB,T2Y 2Z3,Canada,587-625-9181,777288
Sage,Sage Bistro,Steve Dunn,Retailers,1712 Bow Valley Trail,,Canmore,AB,,Canada,(403) 678-4878,768196
Sherbrooke Liquor,Sherbrooke Liquor Store,,,11819 St Albert Trail NW,,Edmonton,AB,T5L 5B5,Canada,7804554556,763663
Sierra Springs,Sierra Springs Liquor,,Retailers,101-2958 Main Street,,Aidrie,AB,,USA,403-948-4202,771071
Silvertip Resort,Silvertip Resort,Steve Dunn,Retailer,2000 Silvertip Trail,,Canmore,AB,T1W 3J4,Canada,587-437-5342,765854
Sky Bistro,Sky Bistro - Banff Gondola,,,1 Mountain Ave.,,Banff,AB,T1L 1J3,USA,(403) 763-0465,771856
Sobeys Canmore,Sobeys Liquor Canmore 1513,Brian Dunn,Retailers,1040 Railway Ave,,Canmore,AB,T1W 1P4,Canada,403-609-6636,763466
Spring Creek Cellars,Spring Creek Cellars,Steve Dunn,,703 Spring Creek Dr,,Canmore,AB,,,403-675-9463,777778
Sprits West,Spirits West Bragg Creek,,,414 - &amp; Balsam Ave,,"Bragg Creek,",AB,,Canada,,773641
Stewart Creek,Stewart Creek Golf and Country Club,Steve Dunn,,4100 Stewart Creek Dr,,Canmore,AB,T1W 2V3,USA,403-688-6868,767969
Summit Cafe,Summit Cafe,,,1001 Cougar Creek Dr,,Canmore,AB,T1W 1E1,Canada,(403) 609-2120,763817
Sundance Wine Market,Sundance Wine Market,John Hedley,Retailer,17 Sunmills Drive SE,,Calgary,AB,T2X 2W6,USA,(403) 254 - 4255,766097
Tapas,Tapas Restaurant,Brian Dunn,,633 10 St,,Canmore,AB,T1W 2A2,Canada,403609-0583,767466
Tavern 1883,Tavern 1883,staff staff,,709 9 Street,,Canmore,ab,T1W 2V7,Canada,(403) 609-2000,773605
The Beer Vault,The Beer Vault,,Retailers,102 Meridian Road NE,,Calgary,AB,T2P 2N6,Canada,403-463-5559,776507
The Block,The Block,Nick Kuhn,Retailers,5-201 Banff Avenue,,Banff,AB,T1L 1C4,Canada,403-985-2887,774017
The Brewers Apprentice,The Brewer's Apprentice,John Hedley,Retailers,"N3 Building, 448 8th Ave S.E.",,Calgary,AB,T2G 0L6,USA,403-703-8735,777009
The Market Bistro,The Market Bistro,Steve Dunn,Retailer,"#102, 75 Dyrgas Gate",,Canmore,AB,T1W 0A6,Canada,403-675-3006,773338
The Sensory,The Sensory,Steve Dunn,Retailer,101-300 Old Canmore Rd,,Canmore,AB,T1W 2X2,Canada,780-902-8472,779819
The Wood,The Wood Steakhouse &amp; Lounge,,,838 8th Street,,"Canmore,",AB,T1W 2B7,Canada,,766282
Three Peaks Liquor,Three Peaks liquor,staff staff,Retailer,721 Main street,,Canmore,AB,T1W 1W4,Canada,(403) 678 - 4099,780201
Tony Romas Banff,Tony Roma's Banff,Steve Dunn,,138 Banff Ave,,Banff,AB,T1L 1A7,USA,403-760-8540,778747
Townhouse Liquor,Townhouse Liquor Banff,,Retailers,226 Bear Street,,Banff,AB,T1L 1B7,Canada,403-762-8434,774345
Tunnel Mountain,Tunnel Mountain Beer &amp; Wine,,Retailers,800 Tunnel Mountain Road,,Banff,AB,T1L 1B5,Canada,403-762-3306,767512
Unwined,"Unwined@3Sisters Wine, Beer &amp; Spirits",,,"102B, 75 Dyrgas Gate",,Canmore,AB,T1W 0A6,Canada,,773771
Willow Park,Willow Park Warehouse,,Wholesalers,10801 Bonaventure Drive SE,,Calgary,AB,,USA,403-483-1269,778162
Wine &amp; Beyond,Wine &amp; Beyond,John Hedley,Retailer,11011 51st Ave NW,,Edmonton,AB,T6H 5T1,Canada,403.275.0968,764727
Zyn,Zyn The Wine Market,John Hedley,Wholesalers,100-1543 17th Avenue SE,,Calgary,AB,T2G 1J9,Canada,587-583-6970,768336
