LicNumber,LicName,LicPhone,LicFax,StoreAddress1,StoreAddress2,StoreAddress3,MailingAddress11,MailingAddress21,MailingAddress31,StoreCity,StorePC
77428000,STAR LIQUOR & WINE BOUTIQUE,(587) 775-7550,NOFAX,609-800 YANKEE VALLEY BOULEVARD SW, , ,106-2323 32 AVENUE NE, , ,AIRDRIE,T4B 3Y2
77589600,BIGGIE'S LIQUOR,(403) 980-6663,NOFAX,3-2145 SUMMERFIELD BOULEVARD SE, , ,86 THORNFIELD PLACE SE, , ,AIRDRIE,T4B 1X5
77603900,SIPS LIQUOR CO-OP WSB,(403) 980-0509,NOFAX,302-1 MIDTOWN BOULEVARD SW, , ,302-1 MIDTOWN BOULEVARD SW, , ,AIRDRIE,T4B 4E7
77608700,PLATINA LIQUOR,(587) 775-2738,NOFAX,113-513 CENTRE AVENUE EAST, , ,135 CITYSIDE PARK NE, , ,AIRDRIE,T4B 1P9
77623900,CORKSCREW CHARLIE WINE & SPIRITS,(403) 764-1300,NOFAX,1-128 EDMONTON TRAIL SE, , ,408 CORNERSTONE PASSAGE NE, , ,AIRDRIE,T4B 1S2
77643700,AIRDRIE LIQUOR STORE II INC.,(403) 616-9793,NOFAX,301-960 YANKEE VALLEY BOULEVARD SE, , ,504B EAST LAKE BOULEVARD NE, , ,AIRDRIE,T4A 2E4
77644200,AIRDRIE LIQUOR ON THE WAY,(403) 616-9793,NOFAX,504B EAST LAKE BOULEVARD NE, , ,504B EAST LAKE BOULEVARD NE, , ,AIRDRIE,T4A 2G5
77694100,PETER'S LIQUOR HUB,(587) 775-3388,NOFAX,112-400 MAIN STREET NE, , ,50 COVEWOOD MANOR NE, , ,AIRDRIE,T4B 2N1
77741600,HIGHLANDER WINE & SPIRITS - AIRDRIE,(403) 640-7759,NOFAX,7 COOPER'S CLOSE, , ,6045 4 STREET SE, , ,AIRDRIE,T4B 4J4
77929500,AIRDRIE LIQUOR STORE II,(403) 948-7011,NOFAX,301-960 YANKEE VALLEY BOULEVARD SE, , ,36 NOLANFIELD POINT NW, , ,AIRDRIE,T4A 2E4
78150300,EVEREST  LIQUOR,(587) 893-3834,NOFAX,105-3 KINGSVIEW ROAD SE, , ,105-3 KINGSVIEW ROAD SE, , ,AIRDRIE,T4A 0A8
75591400,LIQUOR COTTAGE,(780) 924-3385,(780) 924-2334,4720 47 STREET, , ,200 NELSON DRIVE, , ,ALBERTA BEACH,T0E 0A0
77892800,BEACH FRONT LIQUOR,(587) 785-1583,NOFAX,C-5027 50 AVENUE, , ,SITE 112 COMP 10 RR 1, , ,ALBERTA BEACH,T0E 0A1
77729500,SPIRITS OF THE WEST,(780) 838-9263,NOFAX,SPIRITS OF THE WEST LIQUOR STORE, , ,PO BOX 551, , ,ALDER FLATS,T0C 0A0
76177000,ALIX HWY 12 LIQUOR STORE,(403) 747-3592,(403) 747-3592,4-4532 51 AVENUE, , ,PO BOX 176, , ,ALIX,T0C 0B0
78166400,MOM N POPS LIQUOR,(587) 877-8412,NOFAX,4925 50 STREET, , ,PO BOX 457, , ,ALIX,T0C 0B0
76913200,MRS. T'S LIQUOR & COLD BEER STORE,(780) 879-0003,(780) 879-0004,111 MAIN STREET, , ,PO BOX 165, , ,ALLIANCE,T0B 0A0
77576800,TRADING POST LIQUOR,(780) 385-5777,NOFAX,219 MAIN STREET, , ,219 MAIN STREET, , ,ALLIANCE,T0B 0A0
77259200,6S SPIRITS & SUDS,(780) 334-2394,NOFAX,3-232 STONY MOUNTAIN ROAD, , ,PO BOX 5271, , ,ANZAC,T0P 1J0
77672000,ANZAC LIQUOR STATION,(780) 334-2197,NOFAX,102 GILLMORE DRIVE, , ,102 GILLMORE DRIVE, , ,ANZAC,T0P 1J0
77603500,GENERAL SPIRITS & SUDS,(780) 812-0401,NOFAX,4828 50 STREET, , ,PO BOX 82, , ,ARDMORE,T0A 0B0
77399700,COUNTRY BOYZ LIQUOR STORE,(780) 922-0651,NOFAX,52404 RANGE ROAD 221, , ,52404 RANGE ROAD 221, , ,ARDROSSAN,T8E 2G7
77448700,MAINSTREET LIQUOR STORE,(780) 726-2044,NOFAX,28 MAIN STREET, , ,PO BOX 98, , ,ASHMONT,T0A 0C0
76870700,WHISKEY STORE,(780) 675-1154,(780) 675-1164,4808 50 STREET, , ,11478 149 STREET NW, , ,ATHABASCA,T9S 1C9
76891300,ATHABASCA LIQUOR STORE,(780) 675-2163,(780) 675-2129,4710 50 AVENUE, , ,11478 149 STREET NW, , ,ATHABASCA,T9S 1C1
77634300,LANDING LIQUOR STORE,(780) 675-9575,NOFAX,4921 50 STREET, , ,4921 50 STREET, , ,ATHABASCA,T9S 1E1
77977000,LIME AND LEMON LIQUOR STORE,(587) 591-8589,NOFAX,2806 48 AVENUE, , ,2806 48 AVENUE, , ,ATHABASCA,T9S 0B1
71803500,BANFF WINE STORE,(403) 762-3465,(403) 762-3528,302 CARIBOU STREET, , ,PO BOX 2377 STN MAIN, , ,BANFF,T1L 1C1
76474700,LIQUOR DEPOT AT CASCADE,(403) 762-2518,(403) 762-4138,202 WOLF STREET, , ,101-17220 STONY PLAIN ROAD, , ,BANFF,T0L 0C0
76529400,SIDE STREET LIQUOR STORE,(403) 760-7666,(403) 760-8666,KIRBY LANE MALL,3-119 BANFF AVENUE, ,PO BOX 119 STN MAIN, , ,BANFF,T1L 1A8
77172600,A LIQUOR STORE,(403) 762-8246,(403) 762-3303,304 CARIBOU STREET, , ,PO BOX 5555, , ,BANFF,T1L 1B5
77246900,NESTERS MARKET LIQUOR STORE,(403) 762-2155,(403) 760-6611,FAIRMONT BANFF SPRINGS HOTEL,405 SPRAY AVENUE, ,19580 TELEGRAPH TRAIL, , ,BANFF,T1L 1A4
77275400,PARK AVENUE WINE & SPIRITS,(403) 480-4040,NOFAX,PARK AVENUE MALL,211 BANFF AVENUE, ,BOX 3382,211 BANFF AVENUE, ,BANFF,T1L 1B4
77389500,BANFF AVENUE LIQUOR STORE,(403) 431-2974,NOFAX,449 BANFF AVENUE, , ,PO BOX 519, , ,BANFF,T1L 1A6
77434500,TOWNHOUSE LIQUOR,(403) 762-8434,NOFAX,226 BEAR STREET, , ,PO BOX 1842, , ,BANFF,T1L 1B7
77624600,BANFF VOYAGER INN,(403) 762-3301,(403) 760-7792,555 BANFF AVENUE, , ,PO BOX 2109, , ,BANFF,T1L 1B5
74558300,BACK DOOR LIQUOR STORE,(780) 674-3778,(780) 674-7574,C-5201 49 STREET, , ,PO BOX 4708 STN MAIN, , ,BARRHEAD,T7N 1G3
77291300,SOBEYS LIQUOR (BARRHEAD),(780) 674-6432,NOFAX,4905 50 AVENUE, , ,1020 64 AVENUE NE, , ,BARRHEAD,T7N 1A4
77395200,BARRHEAD LIQUOR STORE,(780) 674-4850,NOFAX,5709 49 STREET, , ,PO BOX 4148 STATION MAIN, , ,BARRHEAD,T7N 1A1
77754500,PEMBINA WEST CO-OP LIQUOR STORE,(780) 674-2201,NOFAX,4709-49 STREET, , ,PO BOX 4040, , ,BARRHEAD,T7N 1A1
78150500,LIQUOR PLANET,(780) 574-2138,NOFAX,5131 49 STREET, , ,2924 84 STREET NW, , ,BARRHEAD,T7N 1A3
76886200,BASHAW LIQUOR TOWN,(780) 372-0000,(780) 372-2432,5005 50 STREET, , ,PO BOX 158, , ,BASHAW,T0B 0H0
77779600,BASHAW LIQUOR STORE,(780) 372-3860,(780) 372-2433,4520 50 STREET, , ,PO BOX 628, , ,BASHAW,T0B 0H0
77296700,BASSANO LIQUOR STORE,(403) 641-3555,(866) 732-4911,326 2 AVENUE, , ,PO BOX 1176, , ,BASSANO,T0J 0B0
76794400,SOBEYS LIQUOR (BEAUMONT),(780) 929-0164,(780) 929-0173,6100 50 STREET, , ,1020 64 AVENUE NE, , ,BEAUMONT,T4X 1T8
76870200,GREAT CANADIAN LIQUOR,(780) 929-5299,(780) 929-5344,BEAU VILLAGE MALL,5015A 52 AVENUE, ,11478 149 STREET NW, , ,BEAUMONT,T4X 1E5
77269700,GREAT CANADIAN LIQUOR,(780) 929-6800,NOFAX,109-5001 30 AVENUE, , ,11478 149 STREET NW, , ,BEAUMONT,T4X 1T9
77977800,SUPER VALUE LIQUOR,(403) 999-7549,NOFAX,4924 50 AVENUE, , ,929 WILDWOOD WAY NW, , ,BEAUMONT,T4X 1J9
78051000,ACE LIQUOR DISCOUNTER AT BEAUMONT,(780) 917-4180,NOFAX,106-6306 50 STREET, , ,101-17220 STONY PLAIN ROAD, , ,BEAUMONT,T4X 0B6
78213000,TIPSY LIQUOR LTD.,(780) 499-4417,NOFAX,117-5302 50 STREET, , ,5602 60 STREET, , ,BEAUMONT,T4X 2Y2
74151300,MYRTLES LIQUOR OUTLET,(780) 354-2366,(780) 354-2392,HIGHWAY 2, , ,PO BOX 150, , ,BEAVERLODGE,T0H 0C0
77174200,BEAVER LIQUOR PLUS,(780) 354-3852,(780) 354-8212,310 1 AVENUE, , ,PO BOX 778, , ,BEAVERLODGE,T0H 0C0
74202400,BEISEKER LIQUOR STORE,(403) 947-3875,(403) 947-3777,701 1 AVENUE, , ,PO BOX 350, , ,BEISEKER,T0M 0G0
77147200,1565473 LIQUOR STORE,(403) 947-2092,NOFAX,500A 1 AVENUE, , ,PO BOX 330, , ,BEISEKER,T0G 0G0
77633400,BLUE LIGHT LIQUOR STORE,(403) 318-4449,NOFAX,A-5002 50 AVENUE, , ,PO BOX 1062, , ,BENTLEY,T0C 0J0
75799800,BERWYN OLD WEST LIQUOR,(780) 338-3800,(780) 338-2229,5115 51 STREET, , ,PO BOX 359, , ,BERWYN,T0H 0E0
76214800,BLACK DIAMOND LIQUOR AND COLD BEER,(403) 615-8904,(403) 271-7969,101 CENTRE AVENUE SE, , ,264 MAHOGANY BAY, , ,BLACK DIAMOND,T0L 0H0
77284200,ECO LIQUOR,(403) 933-7773,NOFAX,9-402 CENTRE AVENUE W, , ,244 WHITWORTH WAY NE, , ,BLACK DIAMOND,T0L 0H0
76963900,2A LIQUOR MART,(403) 885-6055,(403) 885-2100,5041 PARKWOOD ROAD, , ,PO BOX 151, , ,BLACKFALDS,T0M 0J0
77021300,PONY EXPRESS LIQUOR STORE,(403) 885-0202,(403) 885-0202,4-5009 PARKWOOD ROAD, , ,45 COACHILL STREET, , ,BLACKFALDS,T0M 0J0
77036300,BROADWAY LIQUOR,(403) 358-4763,NOFAX,501 BROADWAY AVENUE, , ,PO BOX 1477, , ,BLACKFALDS,T0M 0J0
77763100,LIQUOR EVOLUTION,(403) 358-4763,NOFAX,105-5001 ASPEN LAKE BOULEVARD, , ,PO BOX 1477, , ,BLACKFALDS,T0M 0J0
77780600,DIAMOND LIQUOR (BLACKFALDS) INC.,(403) 896-5302,NOFAX,300-6017 PARKWOOD ROAD, , ,BOX 158, , ,BLACKFALDS,T0M 2K0
78167700,KING LIQUOR,(780) 499-4964,NOFAX,625-4500 BLACKFALDS CROSSING WAY, , ,7624 15 AVENUE NW, , ,BLACKFALDS,T0M 0J0
76163700,3LK LIQUOR STORE,(780) 648-0000,(780) 648-0000,HIGHWAY 43, , ,PO BOX 755 STN MAIN, , ,BLUE RIDGE,T0E 0B0
78069800,COTTONWOOD LIQUOR STORE,(780) 604-4876,NOFAX,HIGHWAY 43, , ,PO BOX 450, , ,BLUE RIDGE,T0E 0B0
76815600,SONNY'S COLD BEER & LIQUOR STORE,(780) 826-2230,(780) 826-6080,5411 50 AVENUE, , ,5411 50 AVENUE, , ,BONNYVILLE,T9N 1Z7
77530700,SOBEYS LIQUOR (BONNYVILLE),(780) 826-4636,NOFAX,4804 50 AVENUE, , ,1020 64 AVENUE NE, , ,BONNYVILLE,T9N 1A3
77663600,BONNYVILLE LIQUOR MART,(780) 826-1888,NOFAX,4606 50 AVENUE, , ,4606 50 AVENUE, , ,BONNYVILLE,T9N 1A4
77679800,BUFFALO TRAIL LIQUOR,(780) 812-2769,NOFAX,101-6608 50 AVENUE, , ,101-6608 50 AVENUE, , ,BONNYVILLE,T9N 0B7
77778800,1 AM LIQUOR STORE,(780) 687-2229,NOFAX,C-5024 50 AVENUE, , ,PO BOX 6053, , ,BONNYVILLE,T9N 2E8
77999700,ACE LIQUOR DISCOUNTER AT BONNYVILLE,(780) 826-2228,NOFAX,4903 46 STREET, , ,101-17220 STONY PLAIN ROAD, , ,BONNYVILLE,T9N 1B7
74461800,SILVER SAGE LIQUOR STORE,(403) 545-6124,(403) 545-2044,801 6 STREET EAST, , ,PO BOX 127, , ,BOW ISLAND,T0K 0G0
77300000,BOWDEN LIQUOR STORE,(403) 224-3006,NOFAX,2020 20 AVENUE, , ,PO BOX 254, , ,BOWDEN,T0M 0K0
75937100,BOYLE LIQUOR STORE,(780) 689-3039,(780) 689-3029,5304 1 AVENUE, , ,PO BOX 901, , ,BOYLE,T0A 0M0
76975500,GRG LIQUOR,(780) 689-4684,NOFAX,5021 3 STREET, , ,PO BOX 179, , ,BOYLE,T0A 0M0
77953500,HOOTER'S LIQUOR BOYLE,(780) 689-2288,NOFAX,5100 LAKEVIEW ROAD, , ,PO BOX 70, , ,BOYLE,T0A 0M0
77364100,SPIRITS WEST,(403) 949-2497,(403) 949-2460,414-15 BALSAM AVENUE, , ,PO BOX 914, , ,BRAGG CREEK,T0L 0K0
77502700,CREEKERS LIQUOR,(403) 949-3013,(403) 949-3093,16-20 WHITE AVENUE, , ,130 CRANARCH LANDING SE, , ,BRAGG CREEK,T0L 0K0
76710600,H & W LIQUOR DEPOT,(780) 514-7909,(780) 621-1308,HWY 22 & CORNER OF HWY 616, , ,4108 46 AVENUE, , ,BRAZEAU COUNTY,T0C 0P0
77619600,NATURE'S FUELS,(780) 718-1285,NOFAX,4923 51 STREET, , ,4923 51 STREET PO BOX 70, , ,BRETON,T0C 0P0
76592500,BROOKS NORTH END LIQUOR STORE,(403) 501-3788,(403) 501-3789,13-1308 2A STREET W, , ,13-1308 2A STREET W, , ,BROOKS,T1R 0V5
76731600,BROOKS LIQUOR BARN,(403) 362-5600,(403) 362-8862,401 CASSSILS ROAD WEST, , ,101-17220 STONY PLAIN ROAD, , ,BROOKS,T1R 0W1
76960700,CO-OP LIQUOR AT BROOKS,(403) 362-2895,(403) 362-2719,1-318 8 AVENUE W, , ,969 16 STREET SW, , ,BROOKS,T1R 0N8
77139100,BROOKS LIQUOR STORE,(403) 362-3277,NOFAX,420 2 AVENUE W, , ,420 2 AVENUE W, , ,BROOKS,T1R 0B1
77361900,EASTEND LIQUOR,(403) 362-4502,NOFAX,349 9 STREET EAST, , ,PO BOX 1718, , ,BROOKS,T1R 1C7
77712100,SAFEWAY LIQUOR BROOKS,(403) 362-4413,NOFAX,645 4 STREET WEST, , ,1020 64 AVENUE NE, , ,BROOKS,T1R 0W3
78051100,ACE LIQUOR DISCOUNTER AT BROOKS,(403) 362-2449,NOFAX,731 ALBERTA STREET, , ,101-17220 STONY PLAIN ROAD, , ,BROOKS,T1R 0N8
78104400,SUNSET LIQUOR,(403) 501-0300,NOFAX,4-1080 2 STREET WEST, , ,1130-4818 WESTWINDS DRIVE NE, , ,BROOKS,T1R 0N8
76816900,BRUDERHEIM LIQUOR STORE,(780) 796-3440,(780) 796-3490,4807 52 AVENUE, , ,7643 179 AVENUE NW, , ,BRUDERHEIM,T0B 0S0
77638200,VINTAGE LIQUOR,(780) 796-3322,NOFAX,4801 QUEEN STREET, , ,PO BOX 467, , ,BRUDERHEIM,T0B 0S0
77585300,BUCK LAKE LIQUOR,(780) 918-8446,NOFAX,HIGHWAY 13 & 22, , ,PO BOX 547 63063 A HWY 13, , ,BUCK LAKE,T0C 0T0
78090400,BUCK COUNTRY LIQUOR,(780) 207-5598,NOFAX,701 LAKESHORE DRIVE, , ,PO BOX 748, , ,BUCK LAKE,T0C 0T0
78094300,DD'S LIQUOR BARN,(780) 621-2670,NOFAX,602 LAKESHORE DRIVE, , ,PO BOX 7221, , ,BUCK LAKE,T0C 0T0
69348100,TOWN & COUNTRY MOTOR HOTEL,(403) 239-3112,(403) 239-3504,1825 50 STREET SE, , ,1825 50 STREET SE, , ,CALGARY,T2B 1M6
71805900,J. WEBB  WINE MERCHANT LTD.,(403) 253-9463,(403) 259-6563,GLENMORE LANDING,C157-1600 90 AVENUE SW, ,GLENMORE LANDING,C157-1600 90 AVENUE SW, ,CALGARY,T2V 5A8
71823100,RICHMOND HILL WINES,(403) 686-1980,(403) 686-1982,108-3715 51 STREET SW, , ,108-3715 51 STREET SW, , ,CALGARY,T3E 6V2
71824300,BRITANNIA WINE MERCHANTS,(403) 287-3833,(403) 287-9288,810 49 AVENUE SW, , ,810 49 AVENUE SW, , ,CALGARY,T2S 1G9
74351100,CITY LIQUOR,(403) 242-6907,(403) 246-8104,210-5255 RICHMOND ROAD SW, , ,210-5255 RICHMOND ROAD SW, , ,CALGARY,T3E 7C4
74375500,SILVER SPRINGS LIQUOR STORE,(403) 288-4760,(403) 288-4963,188-8060 SILVER SPRINGS BOULEVARD NW, , ,188-8060 SILVER SPRINGS BOULEVARD NW, , ,CALGARY,T3B 5K1
74712700,DEER POINT LIQUOR STORE,(403) 271-6717,(403) 271-6764,14921 DEER RIDGE DRIVE SE, , ,14921 DEER RIDGE DRIVE SE, , ,CALGARY,T2J 7C4
74831500,CALGARY CENTRE STREET NORTH LIQUOR STORE,(403) 296-0240,(403) 296-0241,1716 CENTRE STREET NE, , ,1716 CENTRE STREET NE, , ,CALGARY,T2E 2S4
74989000,CROWFOOT WINE & SPIRITS - SIGNATURE,(403) 296-2200,(403) 296-2202,LOCATION,7414 CROWFOOT ROAD NW, ,LOCATION,201-7422 CROWFOOT ROAD NW, ,CALGARY,T3G 3N7
75141500,WILLOW PARK LIQUOR STORE,(403) 296-1640,(403) 225-0376,10801 BONAVENTURE DRIVE SE, , ,10801 BONAVENTURE DRIVE SE, , ,CALGARY,T2J 6Z8
75347400,4TH STREET LIQUOR STORE & WINE CELLAR,(403) 229-1919,(403) 229-3899,1809 4 STREET SW, , ,1809 4 STREET SW, , ,CALGARY,T2S 1W2
75361800,D.J. LIQUOR STORE,(403) 816-1226,(403) 277-3911,1A-817 19 STREET NE, , ,1A-817 19 STREET NE, , ,CALGARY,T2E 4X4
75413500,CALGARY CO-OP WINES & SPIRITS - OAKRIDGE,(403) 299-5444,(403) 216-4523,2570 SOUTHLAND DRIVE SW, , ,110-151 86 AVENUE SE, , ,CALGARY,T2V 4J8
75414100,ROYAL SPIRITS & WINES,(403) 571-9888,(403) 571-9885,HAYSBORO PLAZA,9620 ELBOW DRIVE SW, ,4151 EDGEVALLEY LANDING NW, , ,CALGARY,T2V 1M2
75476900,REAL CANADIAN LIQUOR STORE,(403) 280-8226,(403) 280-8227,3575  20 AVENUE NE, , ,3575 20 AVENUE NE, , ,CALGARY,T1Y 6R3
75501400,CALGARY CO-OP WINES & SPIRITS -,(403) 299-7764,(403) 299-7765,BEDDINGTON CO-OP SHOPPING CENTRE,8220 CENTRE STREET NE, ,BEDDINGTON,BEDDINGTON CO-OP SHOPPING CENTRE,8220 CENTRE STREET NE,CALGARY,T3K 1J7
75604200,METRO VINO,(403) 205-3356,NOFAX,B-722 11 AVENUE SW, , ,B-722 11 AVENUE SW, , ,CALGARY,T2R 0E4
75618600,CALGARY CO-OP WINES & SPIRITS - RICHMOND,(403) 299-5362,(403) 299-4497,ROAD,4860 RICHMOND ROAD SW, ,ROAD,4860 RICHMOND ROAD SW, ,CALGARY,T3E 6L4
75621500,OLYMPIA LIQUOR STORE (CHINOOK),(403) 259-5906,(403) 259-5602,20-6624 CENTRE STREET SE, , ,20-6624 CENTRE STREET SE, , ,CALGARY,T2H 0C6
75622800,GLOBAL LIQUORS,(403) 226-2840,(403) 226-2875,5-33 HARVEST HILLS DRIVE NE, , ,5-33 HARVEST HILLS DRIVE NE, , ,CALGARY,T3K 4R2
75742400,REAL CANADIAN LIQUOR STORE,(403) 225-6224,(403) 225-6225,10505 SOUTHPORT ROAD SW, , ,10505 SOUTHPORT ROAD SW, , ,CALGARY,T2W 3N2
75742500,REAL CANADIAN LIQUOR STORE,(403) 241-4050,NOFAX,5251 COUNTRY HILLS BOULEVARD NW, , ,5251 COUNTRY HILLS BOULEVARD NW, , ,CALGARY,T3A 5H8
75742600,REAL CANADIAN LIQUOR STORE,(403) 686-8043,(403) 686-8045,5850 SIGNAL HILL CENTRE SW, , ,5850 SIGNAL HILL CENTRE SW, , ,CALGARY,T3H 3P8
75742700,REAL CANADIAN LIQUOR STORE,(403) 254-3631,NOFAX,15915 MACLEOD TRAIL SE, , ,15915 MACLEOD TRAIL SE, , ,CALGARY,T2Y 3R9
75784200,BANKVIEW LIQUORS,(403) 244-2820,NOFAX,2905 14 STREET SW, , ,2905 14 STREET SW, , ,CALGARY,T2T 3V5
75811100,OLYMPIA LIQUOR STORE,(403) 254-6666,(403) 201-4989,15116 BANNISTER ROAD SE, , ,15116 BANNISTER ROAD SE, , ,CALGARY,T2X 1Z5
75813300,KING'S LIQUOR STORE,(403) 730-1789,NOFAX,4-6219 CENTRE STREET NW, , ,4-6219 CENTRE STREET NW, , ,CALGARY,T2K 0V2
75891200,BRIDGELAND LIQUOR STORE,(403) 265-3856,NOFAX,1-630 1 AVENUE NE, , ,1-630 1 AVENUE NE, , ,CALGARY,T2E 0B6
75929700,SPIRITS OF WILLOW RIDGE,(403) 271-3390,(403) 271-3390,6A-675 ACADIA DRIVE SE, , ,6A-675 ACADIA DRIVE SE, , ,CALGARY,T2J 2Y1
75970800,B K LIQUOR STORE #3,(403) 730-9761,NOFAX,5608 4 STREET NW, , ,5608 4 STREET NW, , ,CALGARY,T2K 1B2
75982600,GLOBAL LIQUOR STORE #3,(403) 285-1633,(403) 285-1676,112-5401 TEMPLE DRIVE NE, , ,112-5401 TEMPLE DRIVE NE, , ,CALGARY,T1Y 3R7
75983700,KJ WINES & SPIRITS INC.,(403) 237-8840,(403) 262-4823,141-555 11 AVENUE SW, , ,141-555 11 AVENUE SW, , ,CALGARY,T2R 1P6
76002300,AB LIQUOR OUTLET,(403) 226-7082,(403) 226-7081,130-790 COVENTRY DRIVE NE, , ,134-790 COVENTRY DRIVE NE, , ,CALGARY,T3K 4K4
76003100,EASTPORT LIQUOR STORE,(403) 248-6968,(403) 313-0517,50-150 52 STREET NE, , ,50-150 52 STREET NE, , ,CALGARY,T2A 4K8
76004000,BEITEL BROS. LIQUOR,(403) 251-6245,(403) 251-6249,20A-11625 ELBOW DRIVE SW, , ,20A-11625 ELBOW DRIVE SW, , ,CALGARY,T2W 1G8
76025800,BOW LIQUOR,(403) 286-0722,(866) 826-3515,101-6404 BOWNESS ROAD NW, , ,101-6404 BOWNESS ROAD NW, , ,CALGARY,T3B 0E7
76044600,BOTTOMS UP LIQUOR STORE,(403) 280-9056,(403) 280-9056,75 MARTINDALE BOULEVARD NE, , ,75 MARTINDALE BOULEVARD NE, , ,CALGARY,T3J 3M7
76049200,ALBERTA CHOICE LIQUOR,(403) 568-3741,(403) 280-8161,147-5120 47 STREET NE, , ,147-5120 47 STREET NE, , ,CALGARY,T3J 4K3
76072800,RUNDLE LIQUOR,(403) 568-1870,NOFAX,4-5309 RUNDLEHORN DRIVE NE, , ,4-5309 RUNDLEHORN DRIVE NE, , ,CALGARY,T1Y 2C2
76086800,P.J. LIQUOR INC.,(403) 252-8662,(403) 252-8631,9935 ELBOW DRIVE SW, , ,95 ST MORITZ TERRACE SW, , ,CALGARY,T2W 1E6
76110000,CROWFOOT WINE & SPIRITS - DOWNTOWN,(403) 228-2286,(403) 228-6218,1402 14 STREET SW, , ,201-7422 CROWFOOT ROAD NW, , ,CALGARY,T3C 3T4
76129800,CALGARY CO-OP WINES & SPIRITS -,(403) 299-4333,(403) 299-4338,DALHOUSIE,5505 SHAGANAPPI TRAIL NW, ,DALHOUSIE,5505 SHAGANAPPI TRAIL NW, ,CALGARY,T3A 1Z6
76158200,BEDFORD LIQUOR,(403) 730-4828,(403) 731-0028,8-176 BEDFORD DRIVE NE, , ,8-176 BEDFORD DRIVE NE, , ,CALGARY,T3K 2M9
76158600,CALGARY CO-OP WINES & SPIRITS - MACLEOD,(403) 299-4288,(403) 299-4294,TRAIL,23-8720 MACLEOD TRAIL SE, ,TRAIL,23-8720 MACLEOD TRAIL SE, ,CALGARY,T2H 0M4
76159200,DAILY LIQUOR,(403) 301-7492,(403) 301-7452,7531 MACLEOD TRAIL SW, , ,7531 MACLEOD TRAIL SW, , ,CALGARY,T2H 0L8
76193100,TRANSCANADA LIQUOR,(403) 230-8522,(403) 230-8780,C-428 16 AVENUE NE, , ,C-428 16 AVENUE NE, , ,CALGARY,T2E 1K2
